concentration_ppb,E_-0.8999,E_-0.8897,E_-0.8795,E_-0.8693,E_-0.859,E_-0.8488,E_-0.8386,E_-0.8284,E_-0.8182,E_-0.808,E_-0.7978,E_-0.7876,E_-0.7774,E_-0.7672,E_-0.757,E_-0.7468,E_-0.7366,E_-0.7263,E_-0.7161,E_-0.7059,E_-0.6957,E_-0.6855,E_-0.6753,E_-0.6651,E_-0.6549,E_-0.6447,E_-0.6345,E_-0.6243,E_-0.6141,E_-0.6039,E_-0.5937,E_-0.5834,E_-0.5732,E_-0.563,E_-0.5528,E_-0.5426,E_-0.5324,E_-0.5222,E_-0.512,E_-0.5018,E_-0.4916,E_-0.4814,E_-0.4712,E_-0.461,E_-0.4507,E_-0.4405,E_-0.4303,E_-0.4201,E_-0.4099,E_-0.3997,E_-0.3895,E_-0.3793,E_-0.3691,E_-0.3589,E_-0.3487,E_-0.3385,E_-0.3283,E_-0.318,E_-0.3078,E_-0.2976,E_-0.2874,E_-0.2772,E_-0.267,E_-0.2568,E_-0.2466,E_-0.2364,E_-0.2262,E_-0.216,E_-0.2058,E_-0.1956,E_-0.1853,E_-0.1751,E_-0.1649,E_-0.1547,E_-0.1445,E_-0.1343,E_-0.1241,E_-0.1139,E_-0.1037,E_-0.0935,E_-0.0833,E_-0.0731,E_-0.0629,E_-0.0526,E_-0.0424,E_-0.0322,E_-0.022,E_-0.0118,E_-0.0016
11.3,-9.446,-8.907,-7.717,-3.006,1.142,4.872,8.092,10.942,11.822,9.432,7.232,5.422,4.162,3.082,2.032,1.472,1.212,0.742,0.692,1.092,1.202,1.302,1.762,2.032,1.872,1.992,2.182,1.862,1.572,1.772,1.502,1.262,1.262,1.222,0.862,0.792,0.922,0.623,0.42,0.448,0.301,-0.08,0.035,0.196,0,0.161,0.672,0.802,0.942,1.552,1.892,1.952,2.412,2.822,2.702,2.682,3.022,2.842,2.552,2.752,2.822,2.622,2.842,3.282,3.372,3.562,4.362,4.652,4.642,5.002,5.142,4.652,4.472,4.472,4.022,3.602,3.782,3.702,3.442,3.662,3.912,3.732,3.812,4.222,4.182,4.082,4.582,4.832,4.792
4.3,-10.556,-9.961,-7.119,-1.89,2.545,6.635,10.105,13.255,14.205,11.575,9.095,7.025,5.575,4.295,3.135,2.495,2.005,1.445,1.245,1.575,1.585,1.535,2.075,2.325,2.235,2.435,2.545,2.255,2.025,2.105,1.845,1.515,1.455,1.355,0.955,0.815,0.835,0.505,0.115,0.315,0.255,-0.056,0.045,0.215,0,0.155,0.575,0.655,0.795,1.325,1.695,1.775,2.105,2.495,2.375,2.285,2.525,2.365,2.065,2.205,2.185,1.905,2.025,2.075,2.185,2.165,2.575,2.585,2.575,2.565,2.385,2.255,2.165,2.375,2.225,2.135,2.525,2.655,2.615,2.965,3.335,3.275,3.425,3.865,3.905,3.885,4.395,4.745,4.825
8.9,-7.577,-7.542,-4.56,0.844,5.39,9.36,12.91,15.84,15.51,12.53,9.9,7.71,6.12,4.82,3.73,3.17,2.87,2.636,2.825,3.53,4.11,4.6,5.59,6.09,5.99,6.15,6,5.26,4.63,4.33,3.64,2.94,2.643,2.3,1.677,1.407,1.25,0.777,0.476,0.504,0.28,0.049,0.088,0.175,0,0.144,0.511,0.609,0.767,1.285,1.53,1.582,1.88,2.1,1.848,1.782,1.953,1.663,1.453,1.568,1.544,1.323,1.505,1.813,1.792,1.936,2.489,2.636,2.664,2.99,3.13,2.88,2.92,2.86,2.88,2.97,3.05,3.08,2.93,3.25,3.51,3.35,3.51,3.92,3.89,3.86,4.37,4.67,4.69
10,-7.994,-7.049,-8.47,-8.281,-8.4788,-8.589,-8.575,-8.344,-7.602,-2.233,3.498,8.358,12.768,16.788,19.788,16.158,13.388,10.868,9.208,8.738,8.198,7.828,8.448,8.968,9.018,9.558,10.098,9.748,9.418,9.558,8.838,7.868,7.368,6.638,5.468,4.668,4.048,3.158,2.268,1.958,1.372,0.77,0.595,0.42,0,-0.154,-0.063,-0.182,-0.294,-0.042,0.042,-0.035,0.168,0.378,0.28,0.294,0.402,0.567,0.469,0.651,0.735,0.602,0.763,1.036,1.064,1.155,1.648,1.858,1.808,2.128,2.288,2.088,2.048,2.188,1.898,1.708,1.878,1.848,1.658,1.828,2.008,1.878,1.928,2.038,2.218,2.118,2.428,2.538,2.378
14,-9.924,-9.476,-10.253,-10.056999,-9.91,-9.336,-10.218,-8.132,-1.118,5.34,11.03,15.86,20.44,21.53,17.4,14.54,12.37,10.19,8.89,8.7,8.07,7.72,8.25,8.51,8.23,8.63,8.95,8.32,7.95,8.02,7.31,6.39,6.08,5.38,4.3,3.69,3.26,2.33,1.71,1.53,1.07,0.56,0.5,0.44,0,0.04,0.1,0.21,0.15,0.62,0.84,0.72,1.08,1.43,1.32,1.41,1.5,1.69,1.58,1.93,2.01,1.79,2.06,2.48,2.42,2.5,3.15,3.32,3.26,3.63,3.78,3.39,3.39,3.59,3.19,2.94,3.16,3.01,2.68,2.93,3.15,2.87,3.02,3.17,3.41,3.37,3.9,4.11,3.99
14,-11.818,-11.405,-11.741,-11.888,-11.852997,-11.454,-10.551,-11.468,-4.174,2.28,7.77,12.52,17.29,20.23,16.12,13.32,11.2,8.89,7.54,7.23,6.54,6.01,6.57,6.72,6.29,6.75,7.07,6.43,6.14,6.37,5.72,4.88,4.76,4.24,3.18,2.79,2.55,1.8,1.15,1.23,0.82,0.26,0.38,0.44,0,0.17,0.32,0.53,0.57,1.22,1.54,1.53,2.13,2.7,2.55,2.73,3.36,3.33,3.53,3.67,3.75,3.47,3.8,4.31,4.14,4.26,4.6,5.07,4.93,5.35,5.46,4.9,4.9,5.1,4.58,4.24,4.6,4.45,4.1,4.44,4.72,4.35,4.57,5.16,5.08,4.97,5.7,5.97,5.8
14,-7.147,-6.937,-6.377,-7.182,-6.909,-6.951,-6.356,-6.79,0.714,7.733,13.833,18.973,23.893,26.413,21.283,17.433,14.213,11.183,9.313,8.473,7.533,7.103,7.593,7.823,7.753,8.143,8.473,7.973,7.613,7.553,6.883,6.023,5.623,4.643,3.853,3.193,2.744,2.023,1.4,1.218,0.868,0.455,0.378,0.336,0,0.091,0.294,0.28,0.301,0.742,0.7,0.868,1.127,1.379,1.302,1.316,1.638,1.575,1.428,1.61,1.729,1.603,1.785,2.156,2.24,2.38,2.905,3.059,3.055,3.293,3.353,3.073,2.961,3.038,2.723,2.45,2.604,2.418,2.219,2.373,2.541,2.361,2.462,2.737,2.712,2.628,2.901,3.082,3.001
14,-6.03,-5.526,-6.548,-6.212,-6.1,-6.2558,-6.401,-6.31,-5.61,2.146,9.031,14.621,19.971,24.491,24.971,20.491,16.821,13.161,10.711,9.351,7.951,7.211,7.491,7.671,7.561,8.121,8.581,8.141,7.791,7.881,7.161,6.311,5.851,5.151,4.081,3.455,2.884,2.114,1.498,1.243,0.868,0.469,0.343,0.259,0,-0.007,0.006,0.042,-0.014,0.263,0.389,0.399,0.599,0.774,0.767,0.851,1.089,1.064,1.04,1.229,1.309,1.274,1.463,1.764,1.862,2.006,2.52,2.72,2.797,3.052,3.178,2.968,2.909,2.979,2.72,2.489,2.629,2.498,2.307,2.51,2.671,2.587,2.706,2.839,3.031,3.031,3.374,3.551,3.474
5.4,-8.107,-3.312,1.17,5.07,8.66,11.99,13.14,10.92,9.08,7.66,6.19,4.88,4.07,3.3,2.44,1.99,1.62,1.16,0.88,0.88,0.72,0.54,0.71,0.71,0.65,0.71,0.84,0.75,0.82,0.85,0.83,0.78,0.7,0.72,0.52,0.43,0.53,0.32,0.17,0.25,0.21,0.03,0.1,0.03,0,-0.01,0.2,0.13,0.02,0.21,0.27,0.14,0.24,0.21,0.22,0.24,0.46,0.43,0.31,0.46,0.55,0.38,0.48,0.61,0.57,0.53,0.82,0.94,0.87,1.07,1.21,1.11,1.12,1.19,1.3,1.24,1.57,1.65,1.59,1.83,2.12,2.12,2.22,2.62,2.71,2.76,3.14,3.34,3.39
2.8,-8.568,-3.983,0.112,3.966,7.186,10.386,12.896,10.646,8.856,7.456,5.996,4.766,3.916,3.146,2.306,1.806,1.446,0.926,0.636,0.57,0.367,0.136,0.185,0.22,0.091,0.129,0.122,0.154,0.223,0.325,0.29,0.192,0.29,0.367,0.147,0.234,0.29,0.143,0.024,0.206,0.136,0.014,0.108,0.178,0,0.031,0.22,0.192,0.27,0.304,0.364,0.217,0.395,0.525,0.406,0.395,0.626,0.556,0.616,0.626,0.656,0.525,0.626,0.591,0.636,0.766,0.906,0.956,0.876,1.086,1.246,1.136,1.236,1.486,1.456,1.436,1.776,1.886,1.856,2.106,2.396,2.376,2.536,2.916,2.986,3.026,3.456,3.686,3.706
8.1,-8.631,-8.379,-7.322,-2.016,2.358,6.198,9.738,12.758,14.918,12.528,10.278,8.418,7.108,5.928,4.868,4.348,4.018,3.618,3.528,3.888,4.078,4.408,5.118,5.688,5.838,6.168,6.218,5.918,5.508,5.308,4.788,4.118,3.708,3.268,2.648,2.218,1.928,1.456,0.983,0.903,0.658,0.336,0.28,0.189,0,-0.084,-0.056,-0.116,-0.098,-0.098,-0.123,-0.245,-0.186,-0.116,-0.305,-0.357,-0.207,-0.263,-0.441,-0.291,-0.214,-0.298,-0.217,-0.161,-0.072,-0.06,0.287,0.425,0.401,0.595,0.765,0.651,0.674,0.812,0.716,0.637,0.829,0.875,0.824,0.999,1.178,1.141,1.253,1.508,1.531,1.519,1.858,2.018,2.038
2,-8.865,-8.627,-8.795,-8.858,-8.83,-3.58,1.954,6.834,11.114,14.944,19.444,16.224,13.694,11.414,9.354,7.834,6.724,5.594,4.814,4.524,4.104,3.924,4.224,4.384,4.274,4.554,4.744,4.564,4.274,4.374,3.974,3.554,3.264,2.964,2.464,2.074,1.854,1.393,1.005,0.907,0.704,0.364,0.259,0.207,0,-0.049,-0.028,-0.112,-0.09,-0.129,-0.091,-0.22,-0.154,-0.059,-0.161,-0.245,-0.091,-0.192,-0.29,-0.224,-0.224,-0.42,-0.472,-0.383,-0.434,-0.435,-0.178,-0.112,-0.133,-0.026,0.16,0.088,0.135,0.245,0.396,0.361,0.618,0.76,0.762,1.084,1.264,1.292,1.46,1.794,1.884,1.914,2.274,2.454,2.504
14.2,-9.709,-9.338,-10.108,-4.074,0.406,4.489,8.099,11.259,14.609,12.149,9.939,8.039,6.789,5.559,4.399,3.769,3.339,2.839,2.529,2.619,2.589,2.609,2.909,3.149,3.199,3.229,3.439,3.289,3.029,3.129,2.879,2.489,2.309,2.159,1.729,1.529,1.399,1.039,0.729,0.719,0.514,0.294,0.217,0.241,0,-0.063,0.077,-0.004,0.025,0.003,0.024,-0.147,-0.049,0.101,-0.014,-0.077,0.129,0.122,0.166,0.182,0.231,0.175,0.304,0.542,0.567,0.619,1.009,1.149,1.169,1.369,1.539,1.389,1.399,1.479,1.319,1.179,1.399,1.379,1.249,1.449,1.639,1.589,1.709,2.049,2.079,2.099,2.489,2.669,2.729
14.2,-6.335,-5.502,-6.839,-6.678,-3.962,0.119,3.856,6.876,9.686,12.266,12.016,9.776,8.146,6.676,5.406,4.656,4.046,3.43,3.15,3.255,3.146,3.251,3.696,3.976,4.046,4.276,4.506,4.386,4.196,4.076,3.786,3.332,3.136,2.793,2.324,1.921,1.708,1.309,0.938,0.801,0.609,0.332,0.231,0.175,0,-0.021,-0.021,-0.091,-0.165,-0.067,-0.056,-0.112,-0.084,-0.049,-0.102,-0.154,-0.021,-0.046,-0.014,-0.018,0.028,0.01,0.136,0.315,0.388,0.462,0.787,0.805,0.821,1.027,1.473,1.425,1.409,1.39,1.348,1.121,1.178,1.288,0.906,1.034,1.2,1.183,1.253,1.535,1.575,1.587,1.883,2.072,2.109
14.2,-6.709,-6.59,-6.492,-1.627,2.076,5.39,8.52,10.92,13.11,10.95,9.04,7.4,6.28,5.25,4.34,3.812,3.588,3.189,3.196,3.311,3.5,3.672,4.2,4.45,4.49,4.66,4.73,4.4,4.11,3.95,3.539,3.073,2.786,2.426,1.971,1.628,1.449,1.12,0.76,0.693,0.511,0.242,0.214,0.175,0,-0.017,0.018,-0.045,-0.108,-0.024,-0.035,-0.014,-0.024,-0.048,-0.059,-0.022,0.021,-0.003,-0.056,0.084,0.158,0.161,0.259,0.483,0.574,0.658,0.884,1.035,1.094,1.499,1.651,1.601,1.448,1.546,1.187,1.04,1.136,1.145,1.068,1.164,1.318,1.318,1.386,1.633,1.684,1.696,1.987,2.184,2.258
14.2,-7.56,-8.946,-8.939,-8.19,-4.277,0.049,3.781,7.081,10.021,13.741,11.281,9.151,7.661,6.261,5.011,4.261,3.661,3.121,2.791,2.991,2.891,2.921,3.281,3.571,3.551,3.711,3.891,3.711,3.501,3.471,3.241,2.841,2.691,2.421,1.931,1.68,1.48,1.106,0.784,0.7,0.504,0.231,0.22,0.168,0,-0.116,0.01,-0.067,-0.071,-0.123,-0.105,-0.231,-0.165,-0.07,-0.161,-0.231,-0.06,-0.081,-0.175,-0.032,0.052,0.031,0.122,0.29,0.387,0.364,0.677,0.868,0.926,1.09,1.218,1.12,1.108,1.23,1.104,0.973,1.132,1.122,1.059,1.218,1.391,1.374,1.475,1.761,1.791,1.811,2.141,2.331,2.391
14.2,-7.301,-6.496,-7.931,-3.458,0.658,4.223,7.383,10.263,13.563,11.513,9.383,7.593,6.243,5.093,4.053,3.413,2.983,2.415,2.275,2.359,2.408,2.422,2.793,3.133,3.183,3.443,3.563,3.383,3.133,3.203,2.893,2.495,2.334,2.075,1.669,1.403,1.239,0.941,0.637,0.605,0.43,0.238,0.231,0.189,0,-0.046,0.094,0,-0.06,0.063,0.112,-0.011,0.056,0.168,0.063,0.028,0.231,0.175,0.105,0.248,0.329,0.283,0.402,0.633,0.696,0.773,1.109,1.176,1.164,1.365,1.5,1.396,1.372,1.498,1.358,1.239,1.349,1.323,1.216,1.354,1.508,1.475,1.549,1.811,1.843,1.904,2.194,2.373,2.397
14.2,-5.88,-5.796,-1.666,4.57,9.84,14.67,18.69,22.2,20.89,17.49,14.47,11.81,9.84,8.08,6.49,5.48,4.76,4.018,3.598,3.654,3.584,3.654,4.095,4.48,4.52,4.81,4.92,4.7,4.389,4.214,3.783,3.325,3.024,2.618,2.114,1.778,1.47,1.148,0.773,0.686,0.469,0.213,0.164,0.157,0,-0.077,0.073,-0.018,-0.081,0.007,0.021,-0.06,-0.053,-0.075,-0.081,-0.109,-0.007,-0.042,-0.123,0.014,0.101,0.08,0.196,0.406,0.355,0.458,0.786,1.068,1.074,1.19,1.389,1.369,1.349,1.325,1.311,1.26,1.143,1.261,1.179,1.206,1.267,1.307,1.377,1.617,1.682,1.675,1.998,2.191,2.24
14.2,-6.429,-6.31,-6.086,-5.337,-6.562,-1.326,3.273,7.218,10.458,13.348,16.578,13.518,11.168,9.158,7.448,6.128,5.168,4.258,3.721,3.623,3.406,3.238,3.714,4.098,4.278,4.688,4.938,4.868,4.618,4.528,4.198,3.619,3.329,2.923,2.356,1.922,1.694,1.257,0.889,0.774,0.557,0.333,0.245,0.165,0,-0.077,-0.028,-0.101,-0.189,-0.175,-0.199,-0.28,-0.241,-0.258,-0.241,-0.269,-0.154,-0.203,-0.128,-0.094,-0.063,-0.052,0.042,0.133,0.202,0.268,0.665,0.905,0.921,1.037,1.254,1.218,1.101,1.24,0.986,0.854,0.984,1.015,0.958,1.092,1.281,1.281,1.369,1.675,1.761,1.791,2.123,2.33,2.396
14.2,-5.432,-4.942,-5.327,-5.523,-4.641,-0.028,3.675,6.922,9.792,12.202,13.662,11.092,9.152,7.502,6.052,4.984,4.235,3.549,3.08,3.017,2.905,2.905,3.325,3.615,3.773,4.067,4.413,4.256,3.99,3.969,3.615,3.153,2.824,2.513,1.995,1.69,1.452,1.109,0.759,0.661,0.493,0.213,0.189,0.097,0,-0.014,-0.009,0,-0.021,0.045,0.133,0.045,0.091,0.185,0.147,0.119,0.227,0.245,0.157,0.273,0.353,0.294,0.437,0.64,0.689,0.742,1.099,1.232,1.274,1.456,1.585,1.41,1.361,1.452,1.353,1.178,1.277,1.321,1.222,1.278,1.516,1.581,1.573,1.88,2.019,1.989,2.261,2.531,2.607
14.2,-4.973,-5.995,-5.981,-6.205,0.809,6.908,11.968,16.308,20.418,22.828,18.858,15.438,12.738,10.388,8.358,6.878,5.748,4.598,3.777,3.497,3.175,2.874,3.021,3.164,3.241,3.623,4.015,3.98,3.822,3.931,3.679,3.112,2.916,2.548,2.016,1.663,1.481,1.071,0.749,0.697,0.445,0.231,0.186,0.104,0,-0.003,0.07,0.021,0.064,0.081,0.084,0.014,0.046,0.073,0.14,0.091,0.252,0.231,0.137,0.287,0.371,0.326,0.462,0.679,0.77,0.882,1.281,1.362,1.42,1.735,1.875,2.004,1.813,1.957,1.698,1.514,1.619,1.683,1.458,1.584,1.743,1.693,1.777,2.093,2.142,2.176,2.498,2.699,2.718
18.8,-4.945,-4.112,-5.078,-5.071,-4.658,-3.86,-5.246,0.851,5.792,9.962,13.502,16.482,18.412,14.942,12.082,9.912,8.182,6.612,5.392,4.638,3.847,2.965,2.727,2.128,1.572,1.379,1.229,0.854,0.592,0.644,0.406,0.179,0.214,0.133,-0.091,-0.133,-0.119,-0.241,-0.297,-0.136,-0.246,-0.288,-0.12,-0.085,0,0.099,0.291,0.451,0.69,0.952,1.25,1.522,1.873,2.213,2.427,2.5,2.76,2.894,2.74,2.773,2.845,2.748,2.647,2.865,2.898,2.825,3.19,3.444,3.43,3.552,3.472,3.276,3.142,3.131,2.932,2.688,2.772,2.941,2.715,2.853,3.08,3.126,3.245,3.591,3.679,3.693,3.98,4.153,4.139
18.8,-4.011,-5.257,-5.446,-4.935,-2.009,2.604,6.554,9.804,12.694,15.114,13.914,11.284,9.244,7.504,6.024,4.844,4.179,3.479,3.087,2.996,2.961,3.08,3.538,3.958,4.175,4.469,4.704,4.539,4.179,4.063,3.685,3.171,2.8,2.457,1.907,1.543,1.337,0.959,0.654,0.525,0.388,0.171,0.098,0.084,0,-0.105,-0.077,-0.175,-0.196,-0.105,-0.095,-0.179,-0.098,0.014,-0.025,0.024,0.063,0.045,-0.007,0.14,0.224,0.241,0.374,0.577,0.682,0.798,1.095,1.263,1.33,1.508,1.61,1.417,1.342,1.361,1.22,1.038,1.094,1.102,1.012,1.046,1.2,1.258,1.237,1.46,1.616,1.579,1.798,2.042,2.115
18.8,-5.383,-4.886,-5.4267,-5.558,-5.88,-0.434,3.43,6.792,9.522,12.302,14.252,11.492,9.512,7.772,6.262,5.222,4.466,3.682,3.227,3.164,3.003,2.968,3.293,3.696,4.018,4.403,4.858,4.686,4.497,4.413,3.927,3.356,3.013,2.604,2.089,1.718,1.393,1.036,0.717,0.623,0.406,0.234,0.164,0.094,0,-0.116,-0.018,-0.116,-0.189,-0.067,-0.091,-0.14,-0.095,0.021,-0.084,-0.13,0.035,0.042,0.021,0.21,0.29,0.283,0.437,0.668,0.763,0.871,1.214,1.4,1.494,1.715,1.75,1.69,1.612,1.708,1.663,1.544,1.387,1.419,1.319,1.331,1.515,1.578,1.53,1.814,1.94,1.936,2.18,2.458,2.382
18.8,-5.516,-5.285,-4.606,-5.173,-5.642,-0.259,4.13,7.848,11.078,13.958,16.298,13.248,10.858,8.888,7.138,5.918,4.914,3.997,3.36,3.241,2.807,2.551,2.737,2.933,2.95,3.262,3.549,3.468,3.419,3.419,3.125,2.73,2.527,2.191,1.76,1.396,1.235,0.878,0.63,0.584,0.413,0.241,0.154,0.168,0,-0.021,0.031,-0.049,-0.088,0,0.021,-0.035,-0.011,-0.004,0.031,0,0.15,0.199,0.175,0.35,0.451,0.472,0.623,0.91,1.022,1.165,1.522,1.729,1.802,2.012,2.128,1.991,1.904,1.822,1.627,1.41,1.459,1.424,1.334,1.316,1.533,1.612,1.578,1.861,2.051,2.017,2.267,2.54,2.494
18.8,-5.315,-5.147,-5.2712,-5.238,-5.385,-2.949,1.566,5.353,8.583,11.393,13.883,13.843,11.363,9.223,7.413,6.103,5.129,4.121,3.449,3.064,2.665,2.343,2.322,2.301,2.073,2.21,2.162,2.177,2.187,2.315,2.133,1.946,1.786,1.622,1.242,1.009,0.876,0.656,0.455,0.4,0.26,0.18,0.085,0.108,0,-0.018,0.024,-0.018,-0.042,0.028,0.063,0.05,0.08,0.14,0.187,0.189,0.292,0.292,0.33,0.476,0.577,0.628,0.763,0.988,1.121,1.214,1.569,1.797,1.851,2.084,2.187,2.094,1.977,1.995,1.785,1.555,1.562,1.506,1.45,1.457,1.646,1.72,1.687,1.96,2.137,2.117,2.369,2.639,2.558
18.8,-5.805,-5.847,-0.044,5.875,11.165,15.825,20.035,22.575,18.835,15.685,12.865,10.535,8.645,7.075,5.715,4.875,4.254,3.736,3.645,3.981,4.296,4.705,5.585,6.195,6.495,6.785,6.845,6.245,5.635,5.215,4.515,3.753,3.267,2.84,2.196,1.849,1.59,1.191,0.838,0.768,0.572,0.33,0.344,0.117,0,0.01,0.138,0.148,0.203,0.217,0.308,0.288,0.39,0.514,0.418,0.437,0.475,0.537,0.509,0.686,0.768,0.642,0.96,1.261,1.307,1.576,2.094,2.324,2.367,2.819,3.039,2.863,2.857,2.933,2.576,2.276,2.339,2.191,1.944,2.059,2.18,2.01,2.11,2.226,2.39,2.394,2.763,2.954,2.948
18.8,-5.946,-5.533001,-4.833,-2.453,1.747,5.5,8.7,11.33,13.72,13.02,10.62,8.54,7.14,5.85,4.79,4.204,3.854,3.427,3.455,3.917,4.316,4.63,5.46,6.03,6.24,6.47,6.44,5.88,5.27,4.94,4.253,3.497,3.035,2.615,1.974,1.6,1.358,0.998,0.602,0.581,0.424,0.175,0.147,0.154,0,-0.017,0.077,0.07,0.113,0.144,0.161,0.07,0.2,0.273,0.214,0.217,0.385,0.357,0.273,0.473,0.574,0.55,0.707,1.033,1.11,1.208,1.628,1.848,1.901,2.17,2.335,2.149,2.104,2.17,1.939,1.687,1.761,1.57,1.416,1.525,1.649,1.635,1.788,1.868,1.999,1.923,2.227,2.496,2.503
18.8,-5.859,-6.622,-6.643,-4.417,0.651,5.093,9.003,12.263,15.263,16.043,13.043,10.593,8.843,7.223,5.883,5.123,4.593,4.043,3.853,4.123,4.203,4.343,5.023,5.453,5.533,5.913,6.143,5.793,5.343,5.173,4.573,3.883,3.468,2.985,2.32,1.872,1.627,1.218,0.815,0.766,0.535,0.255,0.262,0.224,0,-0.056,0.119,0.052,-0.077,0.115,0.178,0.08,0.189,0.353,0.241,0.245,0.338,0.469,0.395,0.595,0.749,0.71,0.903,1.277,1.358,1.477,2.026,2.254,2.313,2.639,2.835,2.649,2.593,2.74,2.439,2.117,2.261,2.152,1.911,2.051,2.247,2.121,2.219,2.572,2.628,2.607,3.052,3.304,3.311
18.8,-5.015,-4.112,-5.337,-5.421,-4.322,0.284,4.162,7.44,10.42,12.83,14.1,11.51,9.55,7.85,6.36,5.37,4.596,3.973,3.623,3.637,3.686,3.84,4.519,4.991,5.3,5.78,6.01,5.79,5.42,5.22,4.687,4.071,3.64,3.126,2.51,2.079,1.701,1.344,0.966,0.805,0.55,0.315,0.245,0.179,0,-0.021,-0.061,-0.101,-0.122,-0.049,-0.007,-0.07,0.011,0.084,0.049,0.122,0.175,0.179,0.133,0.235,0.326,0.333,0.431,0.658,0.788,0.847,1.176,1.355,1.456,1.67,1.813,1.726,1.705,1.806,1.523,1.336,1.392,1.306,1.193,1.156,1.341,1.447,1.351,1.615,1.781,1.715,1.947,2.212,2.266
18.8,-5.448,-5,-5.574,-0.289,6.209,11.739,16.529,20.729,25.179,21.519,17.719,14.499,11.839,9.659,7.709,6.329,5.309,4.296,3.652,3.491,3.225,3.183,3.449,3.764,3.795,4.128,4.261,4.065,3.869,3.827,3.403,2.98,2.626,2.35,1.867,1.454,1.226,0.925,0.589,0.509,0.351,0.094,0.047,0.071,0,0.033,0.143,0.138,0.105,0.211,0.302,0.234,0.29,0.381,0.372,0.412,0.437,0.458,0.365,0.514,0.621,0.631,0.736,0.985,1.153,1.221,1.65,1.87,1.912,2.143,2.262,2.101,2.017,2.023,1.776,1.524,1.571,1.513,1.374,1.323,1.532,1.603,1.486,1.758,1.92,1.859,2.066,2.268,2.269
18.8,-5.376,-5.18,-4.256,-3.598,0.721,4.662,8.026,10.906,13.246,14.416,11.826,9.616,8.026,6.596,5.336,4.48,3.934,3.304,2.947,3.087,3.017,3.08,3.503,3.787,3.934,4.298,4.497,4.291,3.993,3.818,3.391,2.933,2.565,2.187,1.729,1.365,1.172,0.892,0.602,0.518,0.364,0.189,0.154,0.154,0,-0.018,0.077,0.021,-0.06,0.073,0.112,0.105,0.164,0.259,0.245,0.266,0.402,0.437,0.399,0.567,0.661,0.679,0.85,1.116,1.179,1.319,1.645,1.82,1.851,2.037,2.149,1.895,1.851,1.918,1.739,1.533,1.547,1.584,1.52,1.481,1.704,1.803,1.717,2.003,2.194,2.128,2.383,2.647,2.635
