concentration_ppb,Ip_corr,Ep,Area_peak,Peak_to_bg,Slope_rise,Slope_fall,Symmetry,dIdE_max,d2IdE2_max,Mean,Var,Skew,Kurtosis,Energy
11.3,4.818,-0.1956,0.90898788,1.951428942,27.38530097,-15.45963454,-1.771406749,53.56862745,1052.479815,3.641104,0.728027165,-0.53384986,2.586953671,349.6416376
4.3,3.123,-0.0833,0.5765839,1.698390255,4.585881552,-54.70588235,-0.083827942,38.52941176,648.7889273,2.32612,0.137242186,-0.424482027,4.255440174,138.701911
8.9,3.31,-0.0833,0.60790998,2.464558018,9.931718563,-60.58823529,-0.163921569,27.7254902,807.8623606,2.442568,0.476044044,-0.700907747,2.1798472,161.054562
10,2.148,-0.1751,0.3768862,3.460274502,14.57532529,-6.024818319,-2.419214078,21.53921569,628.6043829,1.507856,0.295474408,-0.714952423,2.124849156,64.22760312
14,3.556,-0.1751,0.6834831,2.056442285,18.43569914,-11.56657068,-1.593877706,37.74509804,788.1584006,2.7372,0.44631424,-0.793502313,2.672361693,198.464452
14,5.142,-0.1956,1.0611799,1.56653668,22.8342246,-13.08399132,-1.745203282,71.2745098,860.2460592,4.25784,0.574693414,-1.122485369,3.68540452,467.597372
14,3.1666,-0.1956,0.59452382,2.10053598,19.60119292,-10.72643836,-1.827371982,33.21568627,622.3567859,2.378752,0.369436567,-0.598384652,2.521077968,150.6974411
14,3.0172,-0.1751,0.55896243,2.560768604,18.31939286,-9.181749623,-1.995196298,26.83333333,563.7254902,2.237016,0.431994185,-0.769589972,2.448980976,135.9058692
5.4,1.976,-0.0833,0.2607566,4.810126582,7.150648928,-33.52941176,-0.213264968,14.01960784,389.2733564,1.05328,0.238031002,0.141940373,1.957953631,33.685744
2.8,2.254,-0.0833,0.29603324,4.196455168,7.841435644,-38.84313725,-0.201874416,15.78431373,350.8266052,1.197312,0.292260634,0.328184651,1.947291577,43.14541648
8.1,1.079,-0.0833,0.12063343,-4.655678288,6.516480659,-17.87254902,-0.364608353,14.62745098,487.3125721,0.432528,0.202569657,-0.390665212,1.633460479,9.7412532
2,1.1724,-0.0833,0.07407872,-4.081035923,6.468647031,-18.09803922,-0.357422534,15.59803922,491.6378316,0.184496,0.254945751,0.538765807,1.927633767,7.22461312
14.2,1.527,-0.0833,0.25047544,6.763819986,6.622266547,-26.45098039,-0.250359966,16.88235294,435.4094579,1.003792,0.222524898,-0.733840066,1.956701708,30.75308192
14.2,1.409,-0.1649,0.20272578,23.60924933,11.09299017,-5.242424242,-2.116003905,16.17647059,423.8754325,0.809056,0.222696226,-0.534180949,1.813181832,21.93169592
14.2,1.549,-0.1751,0.23074129,9.881347282,12.53607466,-4.632112985,-2.706340434,18.80392157,497.8854287,0.921144,0.218369016,-0.620241991,2.05962557,26.67188212
14.2,1.3034,-0.0833,0.1935784,30.625,6.390632061,-22.32352941,-0.286273373,15.26470588,351.3071895,0.773424,0.201645505,-0.691343999,1.886989293,19.99575472
14.2,1.4262,-0.1751,0.25403646,4.916574738,10.74229506,-2.592417387,-4.143736696,15.68627451,340.2537486,1.016552,0.184108839,-0.839296344,2.203000985,30.4371702
14.2,1.3486,-0.1649,0.21624935,14.87207764,11.1309901,-3.601069519,-3.091023388,17.31372549,422.9142637,0.863288,0.226263107,-0.683131555,1.873363475,24.28823196
14.2,1.1962,-0.0833,0.17893812,-43.40348331,6.252311854,-20.09803922,-0.311090639,17.85294118,457.9969243,0.709408,0.209207506,-0.677776744,1.794800658,17.8116804
14.2,1.4528,-0.1751,0.25661841,4.665981501,11.04005506,-2.40161799,-4.59692387,15.78431373,455.1134179,1.027608,0.18028524,-0.83061393,2.190158458,30.90658604
14.2,1.8768,-0.1751,0.30992195,5.699708455,14.03475381,-5.307418072,-2.644365607,19.19607843,440.2153018,1.238736,0.30942125,-0.67511269,1.992692908,46.0972032
18.8,3.4348,-0.1956,0.71408852,1.405446987,12.56506239,-7.747994145,-1.621718106,53.88235294,596.4052288,2.870248,0.181752199,-1.191185316,4.283535757,210.5018945
18.8,1.4476,-0.1751,0.23459239,6.484500985,12.15247796,-4.570889894,-2.65866784,17.08823529,408.0161476,0.935616,0.179485171,-0.732326266,2.303178357,26.37156176
18.8,1.695,-0.1751,0.28494302,6.145757796,13.64819115,-5.316262169,-2.567253216,18.56862745,424.3560169,1.13736,0.264765392,-0.763612666,2.15787172,38.95882904
18.8,1.9714,-0.1751,0.32361149,4.572316541,15.27961538,-7.156999863,-2.134919055,21.1372549,516.6282199,1.291096,0.276265668,-0.619570245,2.310066829,48.57986372
18.8,2.0674,-0.1751,0.34832194,3.778971997,14.88846137,-7.414438503,-2.008036261,19.3627451,539.2156863,1.39092,0.270902611,-0.627089666,2.313307563,55.13902644
18.8,2.9022,-0.1751,0.47229795,4.172705314,20.63569579,-12.63019334,-1.633838473,29.16666667,666.5705498,1.884128,0.573703577,-0.483244455,2.013790749,103.0910474
18.8,2.1856,-0.1751,0.36045218,4.17800887,16.02798429,-8.839297957,-1.813264399,21.75490196,482.5067282,1.43828,0.325289216,-0.569074984,2.188308483,59.84846436
18.8,2.6912,-0.1751,0.45527511,4.01168684,19.32096966,-9.806184012,-1.970284224,26.14705882,580.0653595,1.817688,0.496099037,-0.663048758,2.191985647,95.00221756
18.8,1.744,-0.1751,0.27647884,5.663808782,13.39670597,-6.926916221,-1.934007218,18.11764706,499.8077662,1.10292,0.241756064,-0.57294232,2.07940829,36.45471476
18.8,2.1092,-0.1751,0.34833425,3.736801077,15.24242812,-8.893185246,-1.713944745,21.10784314,548.8273741,1.389688,0.279838173,-0.462599437,2.16581149,55.27677276
18.8,1.97,-0.1751,0.35269205,3.188321357,13.68832098,-5.874057315,-2.330300888,18.98039216,520.472895,1.409744,0.226537419,-0.812729196,2.55456496,55.34788912
25.2,4.217,-0.1956,0.6968099,3.185719034,33.28493076,-20.50877927,-1.622960115,44.41176471,799.692426,2.773264,1.07905861,-0.270501182,1.985054952,219.2512956
25.2,4.541,-0.1751,0.73843302,3.027414064,30.47857317,-26.36836693,-1.155876405,42.8627451,1014.994233,2.939912,1.228574173,-0.091797045,1.820583576,246.7914185
25.2,5.288,-0.1853,0.92595206,2.427113167,33.96874803,-26.3313941,-1.290047458,49,985.1980008,3.692768,1.365171826,-0.280954858,2.00924912,375.0426832
25.2,4.482,-0.1751,0.72507984,3.621291449,31.80049318,-24.20307144,-1.313903207,44.37254902,1019.800077,2.886424,1.306461563,-0.263059153,1.878099318,240.9476268
25.2,4.27,-0.1751,0.66309418,10.4955265,36.20246121,-19.2389963,-1.881722968,50.02941176,978.9504037,2.6366,1.88866385,-0.595643736,1.958334221,221.0080852
25.2,4.753,-0.1751,0.78549614,4.497709981,35.89702173,-20.90298917,-1.717315234,48.02941176,767.4932718,3.128912,1.670651591,-0.58040642,2.096816791,286.5185474
25.2,4.725,-0.1751,0.75978008,4.348106158,35.15847042,-22.97593583,-1.53023018,48.12745098,1003.460208,3.025992,1.583170866,-0.414614766,1.984883956,268.4949612
150,26.258,-0.1956,3.73986928,2.677158611,199.2055396,-194.290502,-1.025297364,248.2745098,4032.103037,14.812464,58.39602695,0.045726776,1.63284282,6945.127918
150,27.891,-0.2058,3.83411616,2.534236867,227.6406417,-202.1355754,-1.126178018,283.254902,4235.390235,15.179576,71.36054668,0.044267178,1.605169611,7544.501856
150,30.82,-0.1956,4.30825472,2.807371673,239.5377759,-231.8996014,-1.03293742,291.9607843,4829.873126,17.052416,83.53428917,0.068274111,1.623012059,9357.979515
150,24.114,-0.2058,3.5094792,2.252634332,182.4438503,-164.5779432,-1.108555902,270.5882353,3388.119954,13.92352,46.93031401,-0.014760432,1.640614134,6019.86808
22.7,6.347,-0.1956,1.09060804,2.29328959,41.66886055,-29.7560904,-1.40034729,64.52941176,1167.820069,4.353344,1.792433538,-0.09960181,2.056811526,518.600938
22.7,6.128,-0.1853,1.09211614,1.898812622,32.97557774,-30.46455505,-1.0824244,73.45098039,1047.673972,4.364512,1.483819514,-0.14229436,2.019829579,513.3196128
22.7,6.849,-0.1853,1.21675272,1.957326901,36.87352903,-34.12852833,-1.080431265,80.12745098,1575.355632,4.861416,1.818299136,-0.166351594,2.071440734,636.2916165
22.7,6.882,-0.1956,1.20392458,2.154826912,42.4209516,-31.37090935,-1.352238506,73.96078431,1201.460977,4.807584,1.936960403,-0.16661654,2.166879856,626.245608
17.5,3.633,-0.1751,0.65041854,2.591224216,21.95438961,-14.21465789,-1.544489482,30.70588235,800.1730104,2.60032,0.623541392,-0.529243438,2.147442772,184.6301374
17.5,3.633,-0.1751,0.6477802,2.618265156,22.51515569,-13.9367887,-1.615519628,31.46078431,849.1926182,2.589808,0.630225822,-0.492886718,2.161758819,183.4332825
17.5,3.848,-0.1751,0.68541308,2.683253375,23.79721658,-14.53599342,-1.637123511,33.81372549,945.7900807,2.740928,0.722805097,-0.530571256,2.126991067,205.887285
17.5,2.977,-0.1751,0.50381865,3.887234932,20.68312211,-11.79781983,-1.753130867,30.2745098,782.3913879,2.011584,0.626086022,-0.543598716,1.903829153,116.8139053
19.5,4.666,-0.1853,0.82728066,2.242794793,27.74453702,-19.02154708,-1.458584672,45.81372549,967.4163783,3.30908,0.847626282,-0.227423805,2.222315343,294.9409182
19.5,5.281,-0.1956,0.95238944,1.983787114,31.40072672,-20.56021971,-1.52725638,58.64705882,1028.450596,3.810392,0.952291678,-0.222710443,2.311630467,386.7844718
19.5,5.111,-0.1956,0.92154458,2.281533462,32.51316331,-18.18251275,-1.788155672,49.25490196,1076.509035,3.687304,1.027992116,-0.384974258,2.33184549,365.6050726
19.5,5.552,-0.1956,1.03563642,2.086684607,33.53729604,-17.85335329,-1.878487222,58.8627451,1029.892349,4.146488,1.070104231,-0.559965669,2.596018688,456.5866741
5,3.332,-0.0833,0.4439219,2.878369039,9.079841481,-55,-0.165088027,27.54901961,740.0999616,1.8028,0.4575888,0.714162367,2.419516023,92.691916
5,2.818,-0.0833,0.3830219,2.671596511,7.441715028,-45.58823529,-0.16323762,22.84313725,643.9830834,1.556,0.31214528,0.666388074,2.332585695,68.332032
5,3.698,-0.0833,0.46968692,4.146483674,12.16178945,-63,-0.193044277,30.49019608,788.1584006,1.902576,0.73743986,0.465040951,2.156817325,108.9308824
5,3.7,-0.0833,0.5767823,2.179547597,9.030370799,-62.35294118,-0.144826701,33.7254902,716.070742,2.33544,0.408956966,0.407807922,2.119576004,146.580924
15,3.671,-0.1751,0.64428372,2.79324933,22.80849305,-13.24194433,-1.722442904,33.14705882,889.0811226,2.577224,0.667987927,-0.520859711,2.120989771,182.7517868
15,3.881,-0.1956,0.69888706,2.114110777,23.09721651,-15.55019739,-1.485332689,39.33333333,875.1441753,2.795944,0.560334382,-0.227729468,2.183263136,209.4409308
15,3.953,-0.1751,0.74233436,2.218891733,21.72056586,-12.47627862,-1.740949085,38.80392157,855.4402153,2.972968,0.600781775,-0.696493556,2.468330839,235.9830126
15,3.818,-0.1956,0.69396838,2.262706239,24.87138352,-12.57424238,-1.977962789,37.23529412,804.4982699,2.776848,0.556887345,-0.496302227,2.470555239,206.694304
13.9,3.967,-0.1956,0.72078728,2.381209633,26.48484848,-13.03116595,-2.032423544,36.62745098,795.8477509,2.883696,0.652743754,-0.538312691,2.427941415,224.2111594
13.9,5,-0.1956,0.95882074,1.654708639,23.41464418,-17.72564298,-1.320947523,64.7254902,1014.033064,3.844272,0.625404054,-0.417511773,2.68048917,385.0957816
13.9,4.697,-0.1956,0.88503738,1.753554148,23.33929796,-17.29375213,-1.349579766,57.58823529,980.3921569,3.546744,0.609387086,-0.32231734,2.520268844,329.7195022
13.9,4.331,-0.1956,0.80635076,2.159970476,27.17941862,-12.06263532,-2.253190774,44.19607843,917.9161861,3.230248,0.656620922,-0.647118481,2.69006561,277.2780766
12.7,2.948,-0.1956,0.5477077,2.068655795,17.25407925,-9.643610164,-1.789172204,30.04901961,767.4932718,2.193776,0.298250132,-0.454376843,2.389820722,127.7725818
12.7,2.885,-0.1751,0.53113746,2.514380338,16.83113521,-7.938365556,-2.120226776,25.79411765,855.4402153,2.129024,0.386288958,-0.643208684,2.05746872,122.9758038
12.7,2.916,-0.1751,0.52698356,2.319071099,15.93688156,-10.1349239,-1.572471754,26.2254902,877.5470973,2.11156,0.339893478,-0.433264516,2.025573016,119.9644778
12.7,4.319,-0.1751,0.84973036,2.144999801,22.47482509,-8.659605101,-2.59536374,42.62745098,1014.033064,3.409928,0.771264851,-0.797700444,2.32647294,309.9718454
12.7,4.028,-0.1751,0.6808322,3.170654912,26.46869154,-15.69038804,-1.686936707,42.05882353,1187.043445,2.72144,0.904332006,-0.428625842,1.993946137,207.764192
12.7,3.02,-0.1751,0.5395777,3.140599002,18.74097993,-6.478815302,-2.892655379,33.52941176,1071.703191,2.16512,0.603546906,-0.576562059,1.735718575,132.282288
12.7,3.518,-0.1751,0.6475948,2.511422045,19.51439322,-8.364184835,-2.333089668,34.70588235,1119.76163,2.59912,0.612929946,-0.572440643,1.84342522,184.208868
12.7,3.561,-0.1751,0.64345104,2.745820739,21.08571731,-9.025846702,-2.336148398,35.98039216,1119.76163,2.580552,0.678981127,-0.592748659,1.875250146,183.4557438
16.9,61.1,-0.0833,7.9361248,9.621441169,292.0328525,-1136.27451,-0.257009068,438.2352941,3998.46213,31.936,382.0971494,0.011206649,1.502851212,35050.13114
16.9,43.558,-0.0833,5.9571539,6.905199746,187.5289953,-768.5294118,-0.244010174,257.5713297,4579.969243,23.97784,156.6693277,-0.171241814,1.620399243,18290.15347
16.9,41.554,-0.0833,5.610547,6.893039613,175.1839058,-726.6666667,-0.241078769,236.6666667,4464.628989,22.59304,137.1902493,-0.160444932,1.661251464,16190.89264
16.9,31.142,-0.0833,4.3533766,5.073309006,112.502378,-529.0196078,-0.212662019,231.1764706,4892.349097,17.53968,57.8237359,-0.254034667,2.030715849,9136.60276
7,2.998,-0.0833,0.4665183,3.364003591,10.03279594,-51.96078431,-0.193083997,23.62745098,884.2752787,1.88016,0.457437734,-0.302142149,1.872000525,99.810984
7,2.58,-0.0833,0.34834432,5.745590593,10.05508705,-44.17647059,-0.227611824,22.45098039,816.9934641,1.405856,0.469764107,-0.156299442,1.759868192,61.15488
7,2.447,-0.0833,0.34593454,5.129979036,9.223052345,-42.37254902,-0.217665743,20.75490196,772.7797001,1.394576,0.393373863,-0.258582161,1.834154003,58.45540208
7,3.493,-0.0833,0.61546968,2.33589236,9.403452482,-62,-0.151668588,30.7254902,855.4402153,2.477864,0.41701463,-0.536548633,2.241901911,163.9206158
50.6,8.717,-0.1956,1.27927896,2.975166557,67.08275058,-59.73669737,-1.122973876,88.43137255,1470.588235,5.074408,5.62311509,0.117138454,1.653925383,784.318291
50.6,9.911,-0.1956,1.49287438,2.52795519,71.4244481,-66.41051009,-1.075499164,92.74509804,1451.36486,5.928984,6.841739088,0.06810779,1.689469475,1049.864759
50.6,9.691,-0.1956,1.46594746,2.787718047,71.01803099,-64.46203901,-1.101703143,92.25490196,1744.521338,5.821688,6.428710871,0.095925722,1.6844596,1008.019051
50.6,10.399,-0.1956,1.54929172,2.726648208,77.39633896,-69.43600588,-1.114642727,101.9607843,1691.657055,6.151016,7.59869704,0.108098798,1.674802,1135.842372
63.2,11.811,-0.2058,1.86698942,2.142686095,86.35864528,-67.42994223,-1.280716584,136.7254902,1533.064206,7.430216,8.421756777,0.02716578,1.696558645,1590.746665
63.2,13.391,-0.1956,2.16748306,2.317776485,90.85691759,-79.23775297,-1.146636725,140.372549,1629.181084,8.626248,10.17059884,-0.016817968,1.770218861,2114.568835
63.2,11.907,-0.1956,1.75851142,2.928747823,91.03290827,-78.43189019,-1.16066192,110.6862745,1682.525952,6.97968,9.983378221,0.142409593,1.674367448,1467.482778
63.2,11.95,-0.1956,1.76387164,3.105929076,93.86596737,-76.44455217,-1.227896099,114.7058824,1725.297962,7.001096,9.971510762,0.14957634,1.69017321,1474.671399
0.8,1.9312,-0.0833,0.23792419,3.246805649,4.353867313,-29.42156863,-0.147982161,23.59803922,622.8373702,0.968064,0.134999023,1.09799573,3.431730325,26.80367328
0.8,2.5536,-0.0833,0.41876187,1.996247655,4.847971431,-44.59803922,-0.10870369,25.03921569,525.2787389,1.693056,0.123901816,0.477008685,3.44155143,74.75851088
0.8,2.4306,-0.0833,0.37738626,2.585414628,6.121491311,-40.91176471,-0.149626675,19.90196078,502.2106882,1.52448,0.179036144,0.048467211,2.584346784,62.57688536
0.8,2.0958,-0.0833,0.30126981,2.452260601,4.222038716,-32.89215686,-0.128360044,21.79411765,509.4194541,1.222248,0.113507716,0.903609691,3.46921574,40.18494724
0,2.5204,-0.0833,0.3281678,3.363762545,6.782457515,-41.18627451,-0.164677616,23.28431373,435.8900423,1.329968,0.257892089,0.727601718,2.761973944,50.66767424
0.1,2.8194,-0.0833,0.49283545,1.902531851,5.097301902,-47.52941176,-0.107245213,32.2745098,562.283737,1.989136,0.136537039,-0.264501171,3.887671922,102.3299766
0.2,3.1198,-0.0833,0.44873421,2.769217113,8.096106133,-51.51960784,-0.157146113,24.74509804,590.1576317,1.81636,0.328911002,0.487204477,2.586981366,90.70186628
0.3,3.4582,-0.0833,0.5187177,2.395074383,7.777120045,-60.28431373,-0.129007358,29.61764706,677.1434064,2.09836,0.329389603,0.707244756,3.080368285,118.3126073
